,lisa_night,lisa_morning_peak,lisa_morning_offpeak,lisa_lunch_hours,lisa_afternoon_offpeak,lisa_evening_peak,lisa_evening_offpeak,lisa_late_night
261,NS,NS,NS,NS,NS,NS,NS,NS
262,NS,NS,HH,HH,NS,NS,NS,NS
263,NS,NS,NS,NS,NS,NS,NS,NS
264,NS,HH,LH,LH,NS,NS,NS,NS
265,NS,NS,NS,NS,NS,NS,NS,NS
266,NS,NS,LL,LL,HL,NS,NS,NS
267,NS,HL,LL,NS,NS,NS,NS,NS
268,HH,LH,NS,NS,LH,LH,LH,LH
269,LH,NS,NS,NS,NS,NS,NS,NS
270,NS,NS,NS,NS,NS,NS,NS,NS
271,NS,NS,NS,NS,NS,NS,NS,NS
272,NS,NS,HH,NS,NS,NS,NS,NS
273,NS,NS,NS,NS,NS,NS,NS,NS
274,NS,NS,NS,NS,NS,NS,NS,NS
275,NS,NS,NS,NS,NS,NS,NS,NS
276,HH,NS,NS,NS,NS,NS,LH,NS
277,NS,NS,NS,NS,NS,NS,NS,NS
278,NS,NS,NS,NS,NS,NS,NS,NS
279,NS,NS,NS,NS,NS,NS,NS,NS
280,NS,NS,NS,NS,NS,NS,NS,NS
281,NS,NS,NS,NS,NS,NS,NS,NS
282,NS,NS,NS,NS,NS,NS,NS,NS
283,LL,NS,NS,NS,NS,NS,NS,NS
284,NS,NS,LL,NS,NS,NS,NS,NS
285,LL,LL,LL,LL,LL,LL,LL,NS
286,NS,NS,NS,NS,NS,NS,NS,NS
287,NS,NS,NS,NS,NS,NS,NS,NS
288,NS,NS,NS,NS,NS,LL,NS,NS
289,LH,NS,NS,NS,NS,NS,LH,LH
290,NS,NS,NS,NS,NS,NS,NS,NS
291,NS,NS,NS,NS,NS,NS,NS,NS
292,NS,NS,NS,NS,NS,NS,NS,NS
293,NS,NS,NS,NS,NS,NS,NS,NS
294,NS,NS,NS,NS,NS,NS,NS,NS
295,NS,NS,NS,NS,NS,LH,NS,NS
296,NS,NS,NS,NS,NS,NS,NS,NS
297,NS,NS,NS,NS,HL,NS,NS,NS
298,LL,NS,NS,NS,NS,NS,NS,NS
299,NS,HH,NS,NS,NS,NS,NS,NS
300,NS,NS,NS,NS,NS,NS,NS,NS
301,NS,NS,NS,HL,NS,NS,NS,NS
302,LH,NS,NS,NS,NS,NS,NS,NS
303,NS,NS,NS,NS,NS,NS,NS,NS
304,LH,NS,NS,NS,NS,NS,NS,NS
305,NS,NS,NS,NS,NS,NS,NS,NS
306,NS,NS,NS,NS,NS,NS,NS,NS
307,NS,NS,NS,NS,NS,NS,NS,HL
308,NS,NS,NS,NS,NS,NS,NS,NS
309,NS,NS,NS,NS,NS,NS,NS,NS
310,HH,NS,NS,NS,NS,NS,NS,NS
311,LL,LL,NS,NS,NS,NS,LL,NS
312,NS,NS,NS,NS,NS,NS,NS,NS
313,NS,NS,NS,NS,NS,NS,NS,NS
314,NS,NS,NS,NS,NS,NS,NS,NS
315,NS,NS,NS,NS,NS,NS,NS,NS
316,NS,NS,NS,HL,NS,NS,NS,NS
317,NS,NS,NS,NS,NS,NS,NS,NS
318,HH,HH,NS,LH,HH,NS,NS,HH
319,NS,NS,NS,NS,NS,NS,NS,NS
320,NS,NS,NS,NS,NS,NS,NS,NS
321,NS,NS,NS,NS,NS,NS,NS,NS
322,NS,NS,NS,NS,NS,NS,NS,NS
323,NS,NS,NS,NS,NS,NS,NS,NS
324,NS,NS,NS,NS,NS,NS,NS,NS
325,NS,NS,NS,NS,NS,NS,NS,NS
326,NS,NS,NS,NS,NS,HL,NS,NS
327,NS,NS,NS,NS,NS,NS,NS,NS
328,NS,NS,NS,NS,NS,NS,NS,NS
329,NS,NS,NS,NS,NS,NS,NS,NS
330,HL,LL,NS,NS,NS,NS,NS,HL
331,NS,NS,NS,NS,NS,NS,NS,NS
332,NS,NS,NS,NS,NS,NS,LL,NS
333,NS,LH,NS,NS,NS,NS,NS,NS
334,NS,NS,NS,NS,NS,NS,NS,NS
335,NS,NS,LH,NS,NS,NS,NS,NS
336,NS,NS,NS,NS,NS,NS,NS,NS
337,NS,NS,NS,NS,NS,NS,NS,NS
338,NS,NS,NS,NS,NS,NS,NS,NS
339,NS,NS,LL,NS,NS,NS,NS,NS
340,LL,NS,NS,HL,NS,HL,LL,NS
341,NS,NS,NS,NS,NS,NS,LH,NS
342,NS,NS,NS,NS,LL,LL,LL,NS
343,NS,NS,NS,NS,NS,NS,NS,NS
344,NS,NS,NS,NS,NS,NS,NS,NS
345,NS,NS,NS,NS,NS,NS,NS,NS
346,NS,NS,NS,LH,NS,NS,NS,NS
347,NS,NS,NS,NS,NS,NS,NS,NS
348,NS,NS,NS,NS,NS,NS,NS,NS
349,NS,NS,NS,NS,LH,NS,NS,NS
350,NS,NS,NS,NS,NS,NS,NS,NS
351,NS,NS,NS,NS,NS,NS,NS,NS
352,NS,NS,NS,NS,LH,NS,NS,NS
353,NS,NS,NS,NS,NS,NS,NS,NS
354,NS,NS,NS,NS,NS,NS,NS,NS
355,NS,LL,NS,NS,NS,NS,NS,LL
356,NS,NS,HL,NS,NS,NS,NS,NS
357,NS,NS,NS,NS,NS,NS,NS,NS
358,NS,NS,NS,NS,NS,NS,NS,NS
359,NS,NS,LH,NS,NS,NS,NS,NS
360,NS,LH,NS,NS,NS,NS,NS,NS
361,NS,NS,NS,NS,NS,NS,NS,NS
362,NS,NS,NS,NS,NS,NS,NS,NS
363,NS,NS,NS,NS,NS,NS,NS,NS
364,NS,NS,NS,NS,NS,NS,NS,NS
365,NS,NS,NS,NS,NS,NS,NS,NS
366,NS,NS,NS,NS,NS,NS,NS,NS
367,NS,NS,NS,NS,NS,NS,NS,NS
368,NS,NS,NS,NS,NS,NS,NS,NS
369,NS,NS,NS,NS,NS,NS,NS,NS
370,NS,NS,NS,NS,NS,NS,NS,NS
371,NS,NS,HL,NS,NS,NS,LL,NS
372,NS,NS,NS,NS,HH,NS,NS,NS
373,NS,NS,NS,NS,NS,NS,NS,NS
374,NS,NS,NS,NS,NS,NS,NS,NS
375,NS,NS,NS,NS,LH,NS,NS,HH
376,NS,NS,NS,NS,NS,NS,NS,NS
377,LH,LH,LH,NS,NS,NS,NS,NS
