,lisa_night,lisa_morning_peak,lisa_morning_offpeak,lisa_lunch_hours,lisa_afternoon_offpeak,lisa_evening_peak,lisa_evening_offpeak,lisa_late_night
387,NS,NS,NS,LL,NS,NS,NS,NS
388,NS,NS,NS,NS,LL,NS,NS,NS
389,NS,NS,NS,NS,NS,NS,NS,NS
390,NS,NS,NS,NS,NS,NS,NS,NS
391,NS,NS,NS,NS,NS,LL,NS,NS
392,NS,NS,HH,NS,NS,NS,NS,NS
393,NS,NS,NS,NS,NS,NS,NS,NS
394,NS,NS,NS,NS,NS,NS,NS,NS
395,NS,NS,NS,NS,NS,NS,NS,NS
396,NS,NS,NS,NS,NS,NS,NS,NS
397,NS,NS,NS,NS,NS,NS,NS,NS
398,LL,NS,NS,NS,LL,NS,NS,NS
399,NS,NS,NS,NS,NS,NS,NS,NS
400,NS,NS,NS,NS,NS,NS,NS,NS
401,NS,NS,NS,NS,NS,NS,LL,NS
402,NS,NS,NS,NS,NS,NS,NS,NS
403,NS,NS,NS,NS,NS,NS,LH,NS
404,NS,LH,NS,NS,NS,NS,NS,NS
405,NS,NS,NS,NS,NS,NS,NS,NS
406,NS,NS,NS,NS,NS,NS,NS,NS
407,NS,HH,NS,NS,NS,NS,NS,NS
408,NS,NS,NS,NS,NS,NS,NS,NS
409,NS,NS,NS,NS,NS,LL,NS,NS
410,NS,NS,NS,NS,NS,NS,NS,NS
411,NS,NS,NS,NS,NS,NS,NS,NS
412,NS,NS,NS,NS,NS,NS,NS,HL
413,NS,NS,NS,NS,NS,NS,NS,NS
414,NS,NS,NS,NS,NS,LH,HL,NS
415,NS,NS,NS,NS,NS,NS,NS,NS
416,NS,NS,NS,NS,NS,NS,NS,NS
417,NS,NS,NS,NS,NS,NS,NS,NS
418,NS,NS,NS,NS,NS,NS,NS,NS
419,NS,NS,NS,NS,NS,NS,NS,NS
420,NS,NS,NS,NS,LL,NS,NS,LH
421,NS,NS,NS,NS,NS,NS,NS,NS
422,NS,NS,NS,HH,NS,NS,NS,NS
423,NS,NS,NS,NS,LH,NS,NS,NS
424,NS,NS,NS,NS,NS,HH,NS,NS
425,NS,NS,NS,NS,NS,NS,NS,NS
426,NS,NS,NS,NS,NS,NS,NS,NS
427,NS,NS,NS,NS,NS,NS,NS,NS
428,NS,NS,NS,NS,NS,NS,NS,NS
429,LL,NS,NS,NS,NS,NS,NS,NS
430,NS,NS,NS,NS,LH,NS,HL,NS
431,NS,NS,NS,NS,NS,HL,NS,NS
432,NS,NS,NS,NS,NS,NS,NS,NS
433,NS,NS,HH,NS,NS,NS,NS,NS
434,NS,NS,NS,NS,NS,NS,NS,NS
435,NS,NS,NS,NS,NS,NS,NS,NS
436,NS,NS,NS,NS,NS,NS,NS,NS
437,NS,NS,NS,NS,NS,NS,NS,NS
438,NS,NS,NS,NS,NS,NS,NS,HH
439,NS,HL,NS,NS,NS,NS,NS,HL
440,NS,NS,NS,NS,NS,NS,NS,NS
441,NS,NS,NS,NS,NS,NS,NS,NS
442,NS,HL,NS,NS,HL,NS,NS,NS
443,NS,LL,NS,NS,NS,NS,NS,NS
444,NS,NS,NS,NS,NS,NS,NS,NS
445,NS,NS,NS,NS,NS,NS,HL,NS
446,NS,NS,NS,NS,NS,NS,NS,NS
447,NS,NS,NS,NS,NS,NS,NS,NS
448,NS,NS,NS,NS,NS,NS,NS,NS
449,NS,NS,NS,NS,NS,NS,NS,NS
450,NS,NS,LH,NS,NS,NS,NS,NS
451,NS,NS,LH,NS,NS,NS,NS,HH
452,NS,NS,NS,NS,NS,NS,NS,NS
453,NS,NS,NS,NS,NS,NS,NS,NS
454,NS,NS,NS,NS,NS,NS,NS,HH
455,HH,NS,LH,NS,HH,NS,HH,HH
456,NS,NS,NS,NS,HH,NS,NS,NS
457,NS,NS,NS,NS,NS,NS,NS,NS
458,NS,NS,NS,NS,NS,NS,NS,HH
459,NS,NS,NS,NS,NS,NS,NS,NS
460,NS,NS,HL,LL,NS,NS,NS,NS
461,NS,NS,NS,NS,LH,NS,NS,NS
462,NS,NS,NS,NS,NS,NS,NS,NS
463,NS,NS,NS,NS,NS,NS,NS,NS
464,LH,NS,NS,NS,NS,NS,NS,HH
465,NS,NS,NS,NS,NS,NS,NS,NS
466,NS,NS,LL,LL,NS,NS,NS,NS
467,NS,NS,NS,NS,NS,NS,NS,NS
468,NS,NS,NS,NS,NS,NS,NS,NS
469,NS,NS,NS,NS,NS,NS,NS,NS
470,NS,NS,NS,NS,NS,NS,NS,NS
471,NS,NS,NS,NS,NS,NS,NS,NS
472,NS,NS,NS,NS,NS,NS,NS,NS
473,NS,NS,NS,NS,NS,NS,NS,NS
474,NS,NS,NS,NS,NS,NS,NS,NS
475,NS,NS,NS,NS,NS,NS,NS,NS
476,HH,HL,NS,LH,NS,HL,LL,NS
477,HH,NS,NS,NS,NS,NS,NS,NS
478,NS,NS,NS,NS,NS,NS,NS,NS
479,NS,NS,NS,NS,NS,NS,NS,NS
480,LH,NS,NS,NS,NS,NS,NS,NS
481,NS,NS,NS,NS,NS,NS,NS,NS
482,NS,NS,NS,NS,NS,NS,LH,NS
483,NS,NS,NS,NS,LH,NS,NS,NS
484,NS,NS,NS,NS,NS,NS,NS,NS
485,NS,NS,HH,NS,HH,HH,NS,NS
486,NS,NS,NS,NS,NS,HH,NS,NS
487,NS,NS,NS,NS,LL,HL,NS,NS
488,NS,NS,NS,NS,NS,NS,NS,NS
489,NS,NS,NS,NS,NS,NS,NS,NS
490,NS,NS,NS,NS,NS,LL,NS,NS
491,NS,NS,NS,NS,NS,NS,NS,NS
492,NS,NS,NS,NS,NS,NS,NS,HL
493,NS,NS,NS,NS,NS,NS,NS,NS
494,NS,NS,NS,NS,NS,HL,HL,NS
495,NS,LL,NS,NS,NS,LL,NS,NS
496,NS,HL,NS,NS,NS,NS,HL,NS
497,NS,NS,NS,NS,NS,NS,NS,NS
498,NS,NS,NS,NS,LL,NS,NS,HH
499,NS,HL,NS,NS,NS,NS,NS,NS
500,NS,NS,NS,NS,NS,HH,NS,NS
501,NS,NS,NS,NS,NS,HH,HH,NS
502,NS,NS,NS,NS,NS,NS,NS,NS
503,NS,NS,NS,NS,LL,NS,NS,NS
504,NS,NS,NS,NS,NS,NS,NS,NS
505,NS,NS,LL,LL,HL,NS,LL,NS
506,NS,LH,HH,NS,NS,NS,NS,NS
507,NS,NS,NS,NS,NS,LH,NS,NS
508,NS,NS,NS,HH,NS,NS,NS,NS
509,NS,NS,NS,NS,NS,NS,NS,NS
510,NS,NS,NS,NS,NS,NS,NS,NS
511,NS,NS,NS,NS,NS,NS,NS,HH
512,NS,NS,LL,NS,NS,NS,NS,NS
513,NS,NS,NS,NS,NS,NS,NS,NS
514,NS,NS,NS,NS,NS,NS,NS,NS
515,NS,LH,LH,LH,NS,NS,NS,NS
516,NS,NS,NS,NS,LH,NS,NS,NS
517,NS,NS,NS,NS,NS,NS,HL,LH
518,NS,NS,NS,NS,NS,NS,NS,NS
519,NS,NS,NS,NS,LL,NS,NS,NS
520,NS,LL,NS,NS,NS,NS,NS,NS
521,NS,NS,NS,NS,NS,NS,NS,NS
522,NS,NS,NS,NS,NS,NS,LL,NS
523,NS,LL,NS,NS,LL,NS,NS,NS
524,NS,NS,NS,NS,NS,NS,NS,NS
