,lisa_night,lisa_morning_peak,lisa_morning_offpeak,lisa_lunch_hours,lisa_afternoon_offpeak,lisa_evening_peak,lisa_evening_offpeak,lisa_late_night
266,NS,NS,LL,LL,NS,HH,LL,LL
267,NS,NS,NS,LL,NS,LL,LL,LL
268,LL,NS,NS,HH,NS,LL,NS,LL
269,NS,LL,NS,NS,NS,NS,NS,LL
270,HH,LL,NS,NS,NS,NS,HH,NS
271,NS,NS,LL,NS,NS,NS,NS,NS
272,NS,NS,LL,LL,NS,NS,NS,NS
273,LL,HH,NS,LL,LL,NS,LL,NS
274,NS,NS,NS,NS,LL,NS,LL,NS
275,NS,NS,HH,NS,NS,NS,LL,HH
276,NS,LL,NS,HH,NS,NS,LL,HH
277,NS,NS,NS,NS,NS,HH,LL,NS
278,NS,LL,LL,NS,NS,NS,LL,NS
279,NS,LL,NS,NS,LL,LL,LL,NS
280,NS,LL,LL,NS,LL,NS,LL,NS
281,NS,LL,LL,NS,NS,NS,LL,LL
282,NS,LL,LL,NS,NS,NS,NS,NS
283,NS,LL,LL,LL,HH,NS,NS,HH
284,LH,LL,LL,LL,NS,NS,NS,NS
285,NS,LL,LL,LL,NS,LL,NS,LL
286,LL,NS,LL,LL,NS,LL,NS,NS
287,NS,NS,LL,LL,LL,NS,NS,NS
288,LL,LL,NS,NS,LL,NS,HH,NS
289,LL,NS,NS,NS,LL,NS,HH,NS
290,LL,NS,NS,NS,LL,NS,HH,NS
291,NS,HH,NS,NS,LL,NS,NS,NS
292,NS,HH,NS,NS,LL,LL,NS,NS
293,NS,NS,NS,NS,LL,NS,NS,NS
294,NS,NS,HH,NS,LL,NS,LL,NS
295,NS,NS,NS,HH,NS,HH,NS,NS
296,NS,NS,NS,NS,NS,NS,HH,NS
297,NS,NS,NS,NS,NS,NS,NS,NS
298,NS,HH,NS,NS,NS,LL,NS,NS
299,NS,NS,NS,NS,NS,LL,LL,NS
300,NS,NS,HH,LL,NS,LL,NS,NS
301,LH,LL,NS,NS,HH,LL,NS,LL
302,LL,LL,NS,HH,NS,LL,NS,LL
303,NS,NS,LL,NS,NS,LL,NS,LL
304,NS,NS,NS,NS,NS,LL,NS,NS
305,LH,NS,NS,LL,NS,LL,NS,NS
306,NS,NS,NS,NS,LL,LL,NS,LH
307,NS,NS,NS,NS,NS,NS,NS,NS
308,LL,NS,NS,NS,HH,NS,NS,NS
309,NS,NS,NS,LH,NS,NS,NS,HH
310,LL,NS,NS,NS,LL,NS,NS,NS
311,LL,NS,NS,NS,NS,NS,NS,NS
312,NS,NS,NS,NS,NS,NS,NS,NS
313,NS,NS,NS,NS,NS,NS,NS,NS
314,NS,NS,NS,NS,NS,HH,LL,NS
315,NS,NS,NS,NS,NS,NS,LL,NS
316,HH,NS,HH,NS,NS,NS,LL,LH
317,NS,LL,NS,NS,NS,NS,NS,LL
318,NS,LL,NS,NS,NS,NS,NS,HH
319,NS,NS,LL,NS,NS,NS,NS,NS
320,NS,HH,LL,NS,NS,NS,HH,NS
321,NS,NS,NS,NS,NS,LL,NS,NS
322,NS,LH,NS,LL,NS,NS,NS,NS
323,LL,NS,NS,LL,NS,HH,HH,LL
324,LL,NS,LH,NS,NS,NS,NS,NS
325,NS,HH,NS,NS,NS,NS,NS,LL
326,LL,NS,NS,NS,LL,LL,LH,LL
327,LL,NS,NS,LH,LL,NS,NS,NS
328,LL,NS,HH,HH,LL,NS,NS,NS
329,HH,NS,NS,LH,HH,NS,NS,NS
330,NS,NS,NS,NS,NS,NS,NS,NS
331,NS,NS,HH,HH,NS,NS,LL,NS
332,NS,NS,NS,NS,LH,NS,NS,NS
333,NS,LH,NS,NS,NS,NS,NS,NS
334,NS,LL,NS,NS,NS,NS,HH,NS
335,NS,NS,LH,NS,NS,NS,LH,HH
